-0.059	0.0325	-2.9296
-0.1757	0.0208	0.1269
-0.9105	0.1063	-2.4367
0.1199	-0.4099	-2.9336
0.0527	0.4379	2.4922
0.6925	-0.2179	2.575
0.0548	-0.1896	0.4473
-0.8094	-0.7938	-1.4348
-0.4173	-0.1904	-2.6759
0.0388	1.1491	1.6982
0.2326	0.4321	2.1009
0.1163	-0.1033	1.0822
-0.4556	-0.5281	-1.2407
-0.2345	-0.0148	-2.5884
-0.1081	0.4016	0.67
0.5714	-0.0506	2.1356
0.1674	-0.5065	1.0156
-0.8579	0.0096	-1.4015
-0.2701	-0.4678	-2.701
0.0848	-0.105	0.287
0.3006	0.1531	2.6873
-0.0726	-0.1945	1.453
-0.1418	-1.4683	-1.2643
0.0436	-0.3678	-2.9826
0.1208	0.0853	-0.2949
0.1492	0.5586	3.5731
0.4349	-0.0852	1.4384
-0.4351	0.0151	-1.1675
-0.3433	-0.1396	-3.1056
0.079	0.0688	-1.55
0.3893	-0.2878	3.0852
0.3973	-0.0524	2.0416
-0.159	0.5247	-0.2822
-0.0841	-0.5589	-2.2833
-0.5436	0.4212	-1.1527
0.7219	-0.1907	1.6697
0.5532	0.4083	1.6534
-0.395	0.0046	0.5489
-0.2823	-1.0751	-1.604
-0.353	0.3114	-2.2969
0.3472	0.3493	1.618
0.5862	-0.3914	2.0878
0.0188	-0.2731	0.7516
-0.5722	-0.5391	-1.4604
-0.3699	0.1381	-2.3609
-0.2242	0.4722	0.8533
-0.6249	1.6331	2.0391
-0.6174	0.9292	1.6138
0.1899	-0.0869	-0.8852
