0.16	0.16	0.88
0.18	0.16	0.88
0.18	0.18	0.86
0.21	0.17	0.92
0.18	0.16	0.92
0.18	0.16	0.86
0.18	0.16	0.85
0.16	0.16	0.87
0.17	0.18	0.88
0.18	0.17	0.87
0.18	0.14	0.88
0.17	0.16	0.87
0.18	0.16	0.86
0.18	0.16	0.9
0.19	0.18	0.86
0.15	0.17	0.89
0.16	0.17	0.84
0.17	0.17	0.9
0.18	0.16	0.88
0.19	0.19	0.89
0.18	0.13	0.88
0.16	0.18	0.87
0.17	0.16	0.86
0.2	0.14	0.91
0.2	0.16	0.86
0.17	0.17	0.85
0.18	0.18	0.86
0.17	0.17	0.88
0.18	0.18	0.86
0.16	0.18	0.85
0.18	0.17	0.86
0.18	0.15	0.87
0.18	0.18	0.89
0.17	0.16	0.9
0.18	0.16	0.88
0.18	0.18	0.86
0.15	0.18	0.9
0.17	0.16	0.86
0.17	0.17	0.87
0.16	0.12	0.84
0.19	0.12	0.9
0.19	0.17	0.89
0.17	0.14	0.86
0.15	0.14	0.84
0.16	0.16	0.83
0.19	0.17	0.91
0.19	0.17	0.94
0.17	0.17	0.86
0.14	0.15	0.85
0.15	0.14	0.84
