0.265	-0.7814	-0.0076
0.6722	-1.1233	-0.2344
0.4399	-1.4817	0.0722
0.3031	-0.8125	0.0888
0.4814	-0.9312	0.0359
0.4044	-0.8056	-0.0956
0.632	-1.129	-0.2982
0.667	-1.3503	-0.088
0.2704	-0.8633	0.1293
0.469	-1.074	0.0219
0.2985	-0.7172	-0.0693
0.6364	-1.0452	-0.24
0.5683	-1.2486	-0.131
0.2911	-0.7748	0.0163
0.4477	-1.1574	-0.0172
0.2424	-0.7421	-0.0549
0.6028	-1.0966	-0.3046
0.4852	-1.3397	-0.0763
0.3017	-0.8366	0.0718
0.4082	-1.0859	-0.0375
0.372	-0.819	-0.2379
0.6363	-0.7532	-0.2972
0.709	-1.1893	-0.2303
0.3275	-0.7846	-0.0344
0.2957	-0.9224	-0.0462
0.5468	-1.2653	-0.2362
0.5656	-0.8049	-0.1815
0.7335	-1.3042	-0.2887
0.2843	-0.9344	-0.0459
0.2854	-0.9109	0.0746
0.5291	-1.239	-0.1573
0.5319	-0.7638	-0.1285
0.5509	-1.4469	-0.1684
0.4053	-0.7735	-0.0511
0.2938	-0.9424	0.0928
0.514	-1.0203	-0.2959
0.4652	-0.6219	-0.1181
0.5604	-1.2123	-0.2765
0.5762	-1.1338	-0.0781
0.2365	-0.8592	0.1061
0.4459	-1.1958	0.0135
0.3306	-0.7377	-0.0852
0.6213	-1.1723	-0.2599
0.4872	-1.1931	-0.0351
0.2804	-0.8719	0.075
0.4056	-1.2032	0.0102
0.3337	-0.6742	-0.0606
0.6582	-1.035	-0.1183
0.7001	-1.1561	-0.1305
